TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,주소
서인천화력발전소,1,서인천화력발전소,서인천화력발전소,R,37.536,126.601,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,674
평택화력발전소,2,평택화력발전소,평택화력발전소,R,37.003,126.796,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,산1-21
포항공항,3,포항공항,포항공항,R,35.983889,129.432917,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,남구동해면도구리402-1
청주공항,4,청주공항,청주공항,R,36.724167,127.498333,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,입산리산5-1번지
보령화력발전소,5,보령화력발전소,보령화력발전소,R,36.4,126.49,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,산212
인천화력발전소,6,인천화력발전소,인천화력발전소,R,37.51,126.609,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,674
제주화력발전소,7,제주화력발전소,제주화력발전소,R,33.53,126.59,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,900
서천화력발전소,8,서천화력발전소,서천화력발전소,R,36.136,126.495,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,275-5
부산대학교,9,부산대학교,부산대학교,R,35.235822,129.077,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,부산대학로63번길2
김해공항,10,김해공항,김해공항,R,35.173056,128.948056,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,대저2동2350
세종열병합발전소,11,세종열병합발전소,세종열병합발전소,R,36.477222,128.256944,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,가람동512-2
서울과학기술대학교,12,서울과학기술대학교,서울과학기술대학교,R,37.634289,127.075292,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,공릉로232
중구청,13,중구청,중구청,R,37.5637,126.9975,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,창경궁로17
하동화력발전소,14,하동화력발전소,하동화력발전소,R,34.9549,126.7882,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,금성면가덕리310
남제주화력발전소,15,남제주화력발전소,남제주화력발전소,R,33.2372,126.3409,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,안덕면화순리610
한밭대학교,16,한밭대학교,한밭대학교,R,36.35,127.3,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,동서대로125
금천구청,17,금천구청,금천구청,R,37.457,126.8955,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,금천구청청사건물
당진화력발전소,18,당진화력발전소,당진화력발전소,R,37.053,126.513,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,974
태안화력발전소,19,태안화력발전소,태안화력발전소,R,36.905,126.236,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,674
일산복합화력발전소,20,일산복합화력발전소,일산복합화력발전소,R,37.6474,126.7978,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,백석동1143-1
김제시청,21,김제시청,김제시청,R,35.481315,126.524927,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,서암동353(중앙로40)
평택시청,22,평택시청,평택시청,R,36.9923,127.1126,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,비전동846(경기대로245)
부산복합화력발전소,23,부산복합화력발전소,부산복합화력발전소,R,35.0855,129.0003,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,감천1동
방화,24,방화,방화,R,37.581893,126.822375,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
대치,25,대치,대치,R,37.499585,127.07808,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
교하,26,교하,교하,R,37.737678,126.721686,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
계룡,27,계룡,계룡,R,36.286056,127.247108,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
조치원,28,조치원,조치원,R,36.58835,127.300101,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
안중,29,안중,안중,R,37.000858,126.943065,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
평촌,30,평촌,평촌,R,37.392615,126.96864,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
