TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,imageUrl,주소,fctyCd,gvmtCd
오산(시청),1,오산(시청),오산(시청),R,127.06,37.12,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경기도 오산시오산동 915,OS,GS
서산(시청),2,서산(시청),서산(시청),R,126.49,36.82,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,충남 서산시읍내동 492,SS,GS
장등,3,장등,장등,R,126.93,35.2,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,JD,GS
관음,4,관음,관음,R,128.53,35.93,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,GE,GS
장성(군청),5,장성(군청),장성(군청),R,126.77,35.33,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,전남 장성군장성읍 영천리 1061-2,JS,GS
고성(군청),6,고성(군청),고성(군청),R,128.36,34.96,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경상남도 고성군고성읍 성내리 198,GS,GS
정읍(시청),7,정읍(시청),정읍(시청),R,126.84,35.6,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,전북 정읍시수성동 440-1,JE,GS
홍천(군청),8,홍천(군청),홍천(군청),R,127.85,37.69,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,강원도 홍천군홍천읍 희망리 181,HC,GS
대청댐,9,대청댐,대청댐,R,127.48107,36.47708,http://10.32.28.204:8001/img/common/ico_map05.png,http://10.32.28.204:8001/img/common/ico_map05.png,http://10.32.28.204:8001/img/common/ico_map05.png,충북 청원군문의면덕유리629-10,DC,KW
방화,10,방화,방화,R,126.822375,37.581893,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,BA,GS
김제시청,11,김제시청,김제시청,R,126.524927,35.481315,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,전북 김제시서암동353(중앙로40),GJ,JP
대치,12,대치,대치,R,127.07808,37.499585,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,DC,GS
교하,13,교하,교하,R,126.721686,37.737678,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,GY,GS
계룡(시청),14,계룡(시청),계룡(시청),R,127.247108,36.286056,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,충남 계룡시금암동 10,GR,GS
조치원,15,조치원,조치원,R,127.300101,36.58835,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,CC,GS
안중,16,안중,안중,R,126.943065,37.000858,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,AN,GS
평촌,17,평촌,평촌,R,126.96864,37.392615,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,PC,GS
